,United States,New Mexico,"Albuquerque, NM","Las Cruces, NM","Santa Fe, NM","Farmington, NM","Gallup, NM","Hobbs, NM","Alamogordo, NM","Roswell, NM","Carlsbad, NM","Clovis, NM","Espa-¦ola, NM","Taos, NM","Las Vegas, NM","Silver City, NM","Grants, NM","Deming, NM","Portales, NM","Los Alamos, NM"
7/31/10,168569.6078159372,172161.4520402297,177295.08204316196,188540.28503703637,301136.8254088824,148235.69663117625,,,,102381.61861019216,,,,,,,,,134256.0738140669,310994.3264463952
8/31/10,167821.23067387476,171071.71321635754,176552.60462917225,186210.6626253703,301178.0089440711,147964.64900414718,,,,102294.56909455352,,,,,,,,,134090.5385829144,307874.11029598484
9/30/10,166882.1007782188,170044.7602128575,175431.07757547466,185121.03633709476,300180.5668403864,147160.0703642243,,,,102150.66421617416,,,,,,,,,133994.01544438917,304453.80332689517
10/31/10,165907.27973640364,168575.47541448378,173873.21904765855,182217.47257536263,297689.4673839438,146521.6557929668,,,,101978.69089526612,,,,,,,,,133708.12959342118,301991.50809905765
11/30/10,164914.30272688388,166945.58441918527,172116.39011673734,178963.23197389315,294094.7191353876,145762.6984898036,,,,101710.81978415558,,,,,,,,,133601.10901264127,299824.7437167599
12/31/10,163983.64035675346,165453.4923781765,170511.29829672122,175618.3220627287,290526.74354815733,145573.95156713048,,,,101390.1133453846,,,,,,,,,133243.1607657772,297682.9339478028
1/31/11,163119.07103175452,164916.29177049812,169674.26486768783,175084.29166065328,287141.2684401576,146603.2114741072,,,,100969.0270567256,,,,,,,,,132905.29097424893,296045.7648624279
2/28/11,162314.17152833895,164748.01258506646,169160.23565997693,175174.29058609626,284327.8298048182,148384.90914378583,,,,100488.8208300906,,,,,,,,,132345.38287982708,294490.7433185838
3/31/11,161551.42415867327,164764.35817289315,168864.64632409252,175964.66267120797,282153.23738912557,149676.60761702468,,,,99902.20518,,,,,,,,,131715.3953,292769.7189851605
4/30/11,160754.45487459775,164217.44167854427,168129.12069997375,175562.49105477022,280896.62161133887,150117.8897938018,,,,99376.31572056375,,,,,,,,,131167.88168534308,290758.3455063707
5/31/11,159923.9467870133,163293.60554832267,167393.45101732336,172997.36486849302,280024.69836349523,149863.40379455048,,,,98990.76665151311,,,,,,,,,130911.46635853116,288995.72048627055
6/30/11,159109.89775586032,162134.0329346872,166645.33034779984,169414.03739848532,278805.38295434974,149798.24230759102,,,,98885.79306460552,,,,,,,,,130798.49904116266,287799.0342879699
7/31/11,158430.4311221599,161324.6232908284,166213.6562192778,166593.83954490608,277266.46651448606,149584.52756251468,,,,98946.70960175876,,,,,,,,,130916.35562870454,287069.3323251681
8/31/11,157861.58143108475,160778.73569130487,165520.0057039289,166152.94330982913,275365.2945789666,149567.29691026907,,,,99110.36075254488,,,,,,,,,131216.48428746738,286686.2599519614
9/30/11,157377.4700631428,160417.09148595962,164974.06861476824,165932.1762716472,273898.7540572941,149279.2054113527,,,,99226.10037371592,,,,,,,,,131805.22053412462,286312.7105039041
10/31/11,156895.99447382046,160042.6611215887,164413.76168422404,165919.83546345754,272414.32365267724,148973.7846645863,,,,99275.93643609168,,,,,,,,,132343.13530117102,285437.5376430655
11/30/11,156480.9850985283,159647.41276119844,164054.39573412368,165524.4444837408,271529.20989375934,148790.6317727114,,,,99284.39690926168,,,,,,,,,132763.06701265273,283898.9330435687
12/31/11,156118.88574416708,159266.0117467227,163535.04820962396,165408.88804340543,270880.33424811607,148681.59883249248,,,,99320.10127,,,,,,,,,132851.8928397865,282077.70096495695
1/31/12,155898.50595808055,158968.9628402041,163182.96587000514,164822.3763058677,270840.96919825603,148342.2844062502,145842.56411551774,,,99551.58120488538,,,189319.67816686071,272194.4693028877,155194.4495253542,,,152457.2316710877,132989.2562191514,280447.30067096016
2/29/12,155891.40148775186,158858.78473065372,162876.7509738958,164680.5263189219,269962.98298280983,147940.9627904004,145765.29692231145,,,99839.62373,,,188088.3138338247,271527.9066820842,154930.57649041564,,,152302.3120527768,133490.2843472539,278840.63729711494
3/31/12,156115.0490032624,158939.69583906917,162643.27650469067,165007.1548428676,268765.3273851741,148142.9630166829,145543.31169847024,,,100002.0951324319,,,186437.11112621825,270508.78381309356,154907.64256787326,,,151732.41207916138,134241.8302090695,277243.6030135682
4/30/12,156487.30212377818,159081.03766818662,162307.00049723886,165612.30089094923,267358.7945745966,148528.60380051905,145697.0590357769,,,100238.7286199169,,,184189.78498613497,269207.45349571906,155984.53399418527,,,151050.73607092307,134518.98409742865,276068.69612990844
5/31/12,156926.87834303628,159273.2033102502,161889.4659966353,166205.7925994803,266831.5580727872,148926.30331289163,146250.02588759852,,,100496.83862848538,,,183481.26154613247,268933.30922395695,157791.42341040875,,,149202.18605190932,134428.46199830106,275705.7815311372
