,United States,"Albuquerque, NM","Las Cruces, NM","Santa Fe, NM","Farmington, NM"
2020-03-31,51499.71487960632,44295.71982329772,36443.42189594222,71411.89551968446,35863.37576811192
2020-04-30,51137.48861399823,44049.27537963311,36120.23215992923,70848.58583181903,35362.13998040049
2020-05-31,50974.12326142426,44030.96032742098,36022.33803345143,70688.58003119312,35112.93670571553
2020-06-30,50764.75409160217,44013.90273343289,35941.86829442683,70485.05585048917,34832.735254014115
2020-07-31,50272.81598253719,43766.097781048615,35725.17086572424,69859.42674252373,34453.90959671694
2020-08-31,50234.95155989212,43891.678593249526,35787.195471117295,69883.79020924796,34391.57899487843
2020-09-30,50558.45334216874,44277.65491328623,36048.677808810535,70345.78063462046,34588.13101287884
2020-10-31,50941.030426753205,44690.82125590956,36297.18434647671,70899.92925257033,34559.63915617637
2020-11-30,51339.265868014176,45023.87994643352,36547.16940480726,71441.47658180413,34406.692045269694
2020-12-31,51659.91979854176,45256.77896770299,36733.189562366635,71953.15655709087,34147.8206275689
2021-01-31,51740.46598725289,44837.3908695904,36734.90259002022,72581.24825420356,33924.914395345
2021-02-28,52739.60160662613,45784.21953742969,37402.59073415049,74279.3855405409,34295.39566457411
2021-03-31,54717.46797773827,47652.10905871441,38774.364757504896,77474.43290323293,35346.60296597493
2021-04-30,55378.10352093887,48341.30977619027,39151.67082140619,78603.22090439711,35462.34514136645
2021-05-31,55750.6497263142,48681.39689089686,39285.361138365944,79037.37396787578,35246.23766945001
2021-06-30,56718.59306058661,49477.41120820915,39871.931499818864,80082.55810877158,35369.92764964939
2021-07-31,56994.94111528429,49617.40547562396,40075.7469576244,79952.2613758533,35156.435371772386
2021-08-31,57443.13666591963,49964.74912759017,40551.70897574516,80272.8705807787,35294.947634748474
2021-09-30,58093.07471477815,50518.88288103282,41201.26405587105,81252.57513285152,35792.431209937524
2021-10-31,59312.82665693343,51551.38082869436,42214.54706655584,83224.33926662564,36697.03598360361
2021-11-30,59791.97680886365,51912.60203562029,42642.01286805953,83943.94159688277,37039.906188362285
2021-12-31,60542.26322255084,52516.155434926986,43302.95991949371,84928.974905055,37428.265453406646
2022-01-31,62669.04974021299,54104.87888025832,44804.066442714226,88119.71286067154,38739.22377475033
2022-02-28,65471.75202085165,56832.879605355025,46886.24655679766,91974.25523544564,40218.18974415246
2022-03-31,69107.22929968953,60380.40429867458,49595.76915574866,97367.88354200576,42203.81764521746
2022-04-30,75439.57405865619,66285.83198928747,54219.277110439885,106998.0151393792,45823.76239391414
2022-05-31,78271.50120071131,68907.44155502564,56198.46148499293,111355.53460036544,47290.572531927464
2022-06-30,81277.52542040657,71670.91668297186,58300.64722088547,115791.24509275056,49010.61335280106
2022-07-31,81101.76485164757,71670.37762263654,58207.383217540366,115346.1440339114,49059.69589316653
2022-08-31,79923.20154732987,70806.97672718426,57540.370053063794,113103.64440303655,48570.199001715024
2022-09-30,85794.8231353786,76229.49431475614,62148.08443141064,121566.8966659747,52582.20196828201
2022-10-31,91153.62662345148,81169.24061329631,66400.27959635796,129175.7695781732,56194.50637388958
2022-11-30,90244.69135487174,80505.52256194281,66001.66286715506,127372.3948573994,55924.03797085436
